Date,Price,Volume,% change in vs yesterday,Is ATH,Last 7 days growth,Prediction
43462,3567.89,45964.30499,-0.06,0,-0.070922466,1
43463,3839,38874.3739,0.08,0,-0.027832997,0
43464,3696.71,33222.36926,-0.04,0,-0.059291907,1
43465,3803.12,29991.77835,0.03,0,-0.051617038,0
43466,3701.23,23741.68703,-0.03,0,-0.011835346,1
43467,3796.45,35156.46337,0.03,0,0.004952697,1
43468,3857.57,29406.94836,0.02,0,0.081190844,0
43469,3767.2,29519.55467,-0.02,0,-0.018702787,1
43470,3790.09,30490.66775,0.01,0,0.025260299,0
43471,3771.12,36553.80671,-0.01,0,-0.008414144,1
43472,3987.62,31869.84626,0.06,0,0.07737698,0
43473,3976.76,38901.42312,0,0,0.04749437,0
43474,3955.45,28989.43951,-0.01,0,0.025373486,1
43475,3966.06,59402.22851,0,0,0.052787216,0
43476,3585.88,38338.65473,-0.1,0,-0.053879987,1
43477,3601.31,21999.92835,0,0,-0.045029063,0
43478,3584.1,26385.75745,0,0,-0.101193193,0
43479,3477.56,35235.21122,-0.03,0,-0.125529325,1
43480,3626.08,34137.99746,0.04,0,-0.083269919,0
43481,3553.06,27480.17998,-0.02,0,-0.104133573,1
43482,3591.84,29755.44084,0.01,0,0.001662075,1
43483,3613.32,22713.44676,0.01,0,0.003334898,0
43484,3594.87,22171.57812,-0.01,0,0.003004938,1
43485,3665.75,27901.9386,0.02,0,0.054115529,0
43486,3539.26,19644.43684,-0.03,0,-0.023943211,0
43487,3526.88,29336.44297,0,0,-0.007368297,1
43488,3570.41,24938.8427,0.01,0,-0.005966301,0
43489,3552.97,20826.25118,0,0,-0.016702091,1
43490,3569.07,17608.34667,0,0,-0.007176894,0
43491,3566.69,19476.53234,0,0,-0.027023119,0
43492,3565.62,22735.59816,0,0,0.007447885,0
43493,3550.05,40405.1114,0,0,0.006569546,0
43494,3434,29544.92898,-0.03,0,-0.038205696,0
43495,3410.04,23968.26024,-0.01,0,-0.040228316,1
43496,3457.5,29607.19025,0.01,0,-0.031260244,0
43497,3434.1,25260.47616,-0.01,0,-0.037174523,1
43498,3462.2,17920.802,0.01,0,-0.029004773,1
43499,3504.06,19867.33639,0.01,0,-0.012954747,0
43500,3458.11,23131.98111,-0.01,0,0.007020967,1
43501,3463.22,25264.41503,0,0,0.015595125,1
43502,3471.57,35310.24485,0,0,0.004069414,0
43503,3407,18665.53864,-0.02,0,-0.007891442,0
43504,3398.4,47968.05801,0,0,-0.018427589,1
43505,3660.27,24759.83372,0.08,0,0.044579716,1
43506,3665.18,23250.60263,0,0,0.05987953,1
43507,3679.75,24954.61457,0,0,0.062522739,0
43508,3631.05,29479.59823,-0.01,0,0.045938869,0
43509,3631.51,25773.99765,0,0,0.065896683,0
43510,3608.34,21753.50126,-0.01,0,0.06177613,0
43511,3590.57,20777.8729,0,0,-0.019042311,1
43512,3602.49,19565.99275,0,0,-0.017104208,1
43513,3617.22,25690.22778,0,0,-0.016993002,1
43514,3667.62,64042.73049,0.01,0,0.010071467,1
43515,3897.35,50207.17267,0.06,0,0.073203709,1
43516,3907.35,36205.14085,0,0,0.08286636,1
43517,3969.74,31103.88473,0.02,0,0.105601618,0
43518,3937.31,23943.16375,-0.01,0,0.092941271,1
43519,3962,33657.94288,0.01,0,0.095316293,1
43520,4118,62224.18689,0.04,0,0.122798981,0
43521,3743.56,38102.96625,-0.09,0,-0.039460146,1
43522,3828.44,28838.74804,0.02,0,-0.020195273,0
43523,3809.31,31500.99547,0,0,-0.040413226,1
43524,3818.04,32561.96104,0,0,-0.030292255,0
43525,3814.26,23174.57217,0,0,-0.037289248,1
43526,3822.17,19445.83836,0,0,-0.071838271,0
43527,3819.97,16718.16541,0,0,0.020411053,0
43528,3807.32,34742.84166,0,0,-0.005516607,0
43529,3716.1,32962.53616,-0.02,0,-0.024468998,1
43530,3857.58,24775.11883,0.04,0,0.010356099,1
43531,3861.84,26455.25766,0,0,0.012474241,1
43532,3873.63,34730.36659,0,0,0.013463556,0
43533,3864.88,30979.74765,0,0,0.011756637,1
43534,3943.43,23187.56141,0.02,0,0.035749556,0
43535,3915.99,38066.88571,-0.01,0,0.053790264,0
43536,3871.61,26921.00862,-0.01,0,0.003636995,1
43537,3882.69,24461.00876,0,0,0.005398981,0
43538,3866,27048.74853,0,0,-0.001969729,1
43539,3877.12,21740.0615,0,0,0.003166981,1
43540,3924.46,28568.37612,0.01,0,-0.004810533,1
43541,4005.98,18814.25558,0.02,0,0.02298014,0
43542,3981.85,22454.47801,-0.01,0,0.028473942,1
43543,3987.83,19893.74182,0,0,0.027079164,1
43544,4017.48,23432.30026,0.01,0,0.039182618,1
43545,4043.04,35997.68212,0.01,0,0.042794652,0
43546,3980.85,20022.60632,-0.02,0,0.014368856,1
43547,3987.89,17302.60432,0,0,-0.004515749,1
43548,4006.01,17179.85065,0,0,0.006067531,0
43549,3991.35,33192.89022,0,0,0.000882686,0
43550,3935.47,29349.53763,-0.01,0,-0.020413294,1
43551,3948.77,32364.55585,0,0,-0.023316613,1
43552,4039.58,20089.29388,0.02,0,0.014753131,0
43553,4028.22,30084.21744,0,0,0.010113117,1
43554,4104.24,19509.2926,0.02,0,0.024520658,1
43555,4106.99,13525.08743,0,0,0.028972653,0
43556,4102.44,25507.06764,0,0,0.042426953,1
43557,4144.54,105383.6393,0.01,0,0.049577463,1
43558,4857.19,109890.1257,0.17,0,0.202399754,1
43559,4932.59,61054.25417,0.02,0,0.224508592,0
43560,4898.64,39768.55281,-0.01,0,0.193555932,1
43561,5004.96,41770.84231,0.02,0,0.218644311,1
43562,5042.07,37615.4868,0.01,0,0.229041741,1
43563,5170.27,50178.43078,0.03,0,0.247489468,1
43564,5238.38,34067.01231,0.01,0,0.078479532,0
43565,5150,40073.62047,-0.02,0,0.044076236,1
43566,5307.86,54696.60069,0.03,0,0.083537472,0
43567,5017.37,33276.67861,-0.05,0,0.00247954,1
43568,5047,17292.4568,0.01,0,0.000977773,0
43569,5047.45,18281.60774,0,0,-0.023755046,1
43570,5131.28,29057.19158,0.02,0,-0.020445252,0
43571,5024.95,24242.22949,-0.02,0,-0.024281553,1
43572,5173.72,23307.53613,0.03,0,-0.025271955,1
43573,5202.41,22619.239,0.01,0,0.036879879,1
43574,5258.44,24611.23632,0.01,0,0.041894195,0
43575,5258.68,19168.90827,0,0,0.041848854,1
43576,5292.91,25549.57094,0.01,0,0.031498963,0
43577,5257.41,29563.85231,-0.01,0,0.046261157,1
43578,5357.14,41262.10392,0.02,0,0.035452247,1
43579,5490.91,48224.15241,0.02,0,0.055455068,0
43580,5415,49636.08995,-0.01,0,0.029773089,0
43581,5220.47,48912.29451,-0.04,0,-0.007266082,1
43582,5315,15422.89694,0.02,0,0.004173508,0
43583,5295.69,14371.43387,0,0,0.007281152,1
43584,5309.81,19918.13508,0,0,-0.008834938,0
43585,5238.14,22238.06823,-0.01,0,-0.046034264,1
43586,5321.94,17217.47322,0.02,0,-0.017185596,1
43587,5383.2,22795.78784,0.01,0,0.031171523,1
43588,5494.81,46297.17285,0.02,0,0.033830668,1
43589,5770.62,39682.40899,0.05,0,0.089682364,1
43590,5829.83,23822.54378,0.01,0,0.097935708,0
